year,stage,position,rider,team,time
2023,1,1,YatesAdam,UAE Team Emirates,4:22:494:22:49
2023,1,2,YatesSimon,Team Jayco AlUla,0:040:04
2023,1,3,PogačarTadej,UAE Team Emirates,0:120:12
2023,1,4,PinotThibaut,Groupama - FDJ,",,0:12"
2023,1,5,WoodsMichael,Israel - Premier Tech,",,0:12"
2023,1,6,LafayVictor,Cofidis,",,0:12"
2023,1,7,HindleyJai,BORA - hansgrohe,",,0:12"
2023,1,8,SkjelmoseMattias,Lidl - Trek,",,0:12"
2023,1,9,VingegaardJonas,Jumbo-Visma,",,0:12"
2023,1,10,GauduDavid,Groupama - FDJ,",,0:12"
2023,1,11,van AertWout,Jumbo-Visma,",,0:12"
2023,1,12,LandaMikel,Bahrain - Victorious,",,0:12"
2023,1,13,RodríguezCarlos,INEOS Grenadiers,",,0:12"
2023,1,14,KeldermanWilco,Jumbo-Visma,",,0:12"
2023,1,15,StrongCorbin,Israel - Premier Tech,0:330:33
2023,1,16,AranburuAlex,Movistar Team,",,0:33"
2023,1,17,Van GilsMaxim,Lotto Dstny,",,0:33"
2023,1,18,TeunsDylan,Israel - Premier Tech,",,0:33"
2023,1,19,CrasSteff,TotalEnergies,",,0:33"
2023,1,20,MadouasValentin,Groupama - FDJ,",,0:33"
2023,1,21,MeintjesLouis,Intermarché - Circus - Wanty,",,0:33"
2023,1,22,BardetRomain,Team dsm - firmenich,",,0:33"
2023,1,23,BernalEgan,INEOS Grenadiers,",,0:33"
2023,1,24,BuchmannEmanuel,BORA - hansgrohe,",,0:33"
2023,1,25,AlaphilippeJulian,Soudal Quick-Step,",,0:33"
2023,1,26,TejadaHarold,Astana Qazaqstan Team,",,0:33"
2023,1,27,MartinGuillaume,Cofidis,",,0:33"
2023,1,28,DinhamMatthew,Team dsm - firmenich,",,0:33"
2023,1,29,PidcockTom,INEOS Grenadiers,",,0:33"
2023,1,30,JohannessenTobias Halland,Uno-X Pro Cycling Team,",,0:33"
2023,1,31,KussSepp,Jumbo-Visma,",,0:33"
2023,1,32,HaigJack,Bahrain - Victorious,",,0:33"
2023,1,33,O'ConnorBen,AG2R Citroën Team,",,0:33"
2023,1,34,HarperChris,Team Jayco AlUla,",,0:33"
2023,1,35,CicconeGiulio,Lidl - Trek,",,0:33"
2023,1,36,GallFelix,AG2R Citroën Team,",,0:33"
2023,1,37,van der PoelMathieu,Alpecin - Deceuninck,",,0:33"
2023,1,38,SánchezLuis León,Astana Qazaqstan Team,",,0:33"
2023,1,39,BerthetClément,AG2R Citroën Team,",,0:33"
2023,1,40,BilbaoPello,Bahrain - Victorious,",,0:33"
2023,1,41,MajkaRafał,UAE Team Emirates,",,0:33"
2023,1,42,CastroviejoJonathan,INEOS Grenadiers,0:480:48
2023,1,43,LópezJuan Pedro,Lidl - Trek,0:520:52
2023,1,44,GroßschartnerFelix,UAE Team Emirates,1:191:19
2023,1,45,ZimmermannGeorg,Intermarché - Circus - Wanty,1:211:21
2023,1,46,PowlessNeilson,EF Education - EasyPost,1:321:32
2023,1,47,BettiolAlberto,EF Education - EasyPost,2:062:06
2023,1,48,de la CruzDavid,Astana Qazaqstan Team,2:152:15
2023,1,49,JorgensonMatteo,Movistar Team,2:382:38
2023,1,50,BurgaudeauMathieu,TotalEnergies,",,2:38"
2023,1,51,LouvelMatis,Team Arkéa Samsic,",,2:38"
2023,1,52,TurgisAnthony,TotalEnergies,3:133:13
2023,1,53,IzagirreIon,Cofidis,",,3:13"
2023,1,54,IzagirreGorka,Movistar Team,",,3:13"
2023,1,55,BenootTiesj,Jumbo-Visma,",,3:13"
2023,1,56,MartínezDaniel Felipe,INEOS Grenadiers,",,3:13"
2023,1,57,CharmigAnthon,Uno-X Pro Cycling Team,3:373:37
2023,1,58,MohoričMatej,Bahrain - Victorious,",,3:37"
2023,1,59,JungelsBob,BORA - hansgrohe,",,3:37"
2023,1,60,KonradPatrick,BORA - hansgrohe,4:594:59
2023,1,61,ChavesEsteban,EF Education - EasyPost,",,4:59"
2023,1,62,GeschkeSimon,Cofidis,",,4:59"
2023,1,63,OliveiraNelson,Movistar Team,",,4:59"
2023,1,64,GallopinTony,Lidl - Trek,",,4:59"
2023,1,65,TræenTorstein,Uno-X Pro Cycling Team,",,4:59"
2023,1,66,AsgreenKasper,Soudal Quick-Step,5:365:36
2023,1,67,HamiltonChris,Team dsm - firmenich,",,5:36"
2023,1,68,SchultzNick,Israel - Premier Tech,",,5:36"
2023,1,69,DevenynsDries,Soudal Quick-Step,",,5:36"
2023,1,70,UránRigoberto,EF Education - EasyPost,",,5:36"
2023,1,71,SolerMarc,UAE Team Emirates,",,5:36"
2023,1,72,CampenaertsVictor,Lotto Dstny,",,5:36"
2023,1,73,van BaarleDylan,Jumbo-Visma,7:037:03
2023,1,74,KwiatkowskiMichał,INEOS Grenadiers,",,7:03"
2023,1,75,Paret-PeintreAurélien,AG2R Citroën Team,",,7:03"
2023,1,76,LatourPierre,TotalEnergies,",,7:03"
2023,1,77,GirmayBiniam,Intermarché - Circus - Wanty,",,7:03"
2023,1,78,HermansQuinten,Alpecin - Deceuninck,",,7:03"
2023,1,79,Van HooydonckNathan,Jumbo-Visma,7:297:29
2023,1,80,CostaRui,Intermarché - Circus - Wanty,8:368:36
2023,1,81,DelaplaceAnthony,Team Arkéa Samsic,",,8:36"
2023,1,82,FraileOmar,INEOS Grenadiers,9:429:42
2023,1,83,Boasson HagenEdvald,TotalEnergies,",,9:42"
2023,1,84,VermaerkeKevin,Team dsm - firmenich,",,9:42"
2023,1,85,BarguilWarren,Team Arkéa Samsic,",,9:42"
2023,1,86,GuerreiroRuben,Movistar Team,",,9:42"
2023,1,87,ShawJames,EF Education - EasyPost,",,9:42"
2023,1,88,PacherQuentin,Groupama - FDJ,",,9:42"
2023,1,89,PoelsWout,Bahrain - Victorious,",,9:42"
2023,1,90,HouleHugo,Israel - Premier Tech,",,9:42"
2023,1,91,LutsenkoAlexey,Astana Qazaqstan Team,",,9:42"
2023,1,92,PolittNils,BORA - hansgrohe,11:0311:03
2023,1,93,CalmejaneLilian,Intermarché - Circus - Wanty,",,11:03"
2023,1,94,SmithDion,Intermarché - Circus - Wanty,",,11:03"
2023,1,95,GenietsKevin,Groupama - FDJ,",,11:03"
2023,1,96,OssDaniel,TotalEnergies,",,11:03"
2023,1,97,NeilandsKrists,Israel - Premier Tech,",,11:03"
2023,1,98,ClarkeSimon,Israel - Premier Tech,",,11:03"
2023,1,99,CavagnaRémi,Soudal Quick-Step,",,11:03"
2023,1,100,KüngStefan,Groupama - FDJ,",,11:03"
2023,1,101,WrightFred,Bahrain - Victorious,",,11:03"
2023,1,102,PerezAnthony,Cofidis,",,11:03"
2023,1,103,GoglMichael,Alpecin - Deceuninck,",,11:03"
2023,1,104,PedreroAntonio,Movistar Team,",,11:03"
2023,1,105,MühlbergerGregor,Movistar Team,",,11:03"
2023,1,106,ChampoussinClément,Team Arkéa Samsic,11:4511:45
2023,1,107,BjergMikkel,UAE Team Emirates,11:5011:50
2023,1,108,DeclercqTim,Soudal Quick-Step,13:5313:53
2023,1,109,RickaertJonas,Alpecin - Deceuninck,",,13:53"
2023,1,110,LampaertYves,Soudal Quick-Step,",,13:53"
2023,1,111,BoivinGuillaume,Israel - Premier Tech,",,13:53"
2023,1,112,VermeerschFlorian,Lotto Dstny,",,13:53"
2023,1,113,ZingleAxel,Cofidis,",,13:53"
2023,1,114,BiermansJenthe,Team Arkéa Samsic,",,13:53"
2023,1,115,DewulfStan,AG2R Citroën Team,",,13:53"
2023,1,116,GuglielmiSimon,Team Arkéa Samsic,",,13:53"
2023,1,117,DurbridgeLuke,Team Jayco AlUla,",,13:53"
2023,1,118,ArndtNikias,Bahrain - Victorious,",,13:53"
2023,1,119,CoquardBryan,Cofidis,",,13:53"
2023,1,120,DegenkolbJohn,Team dsm - firmenich,",,13:53"
2023,1,121,SimmonsQuinn,Lidl - Trek,",,13:53"
2023,1,122,HallerMarco,BORA - hansgrohe,",,13:53"
2023,1,123,EekhoffNils,Team dsm - firmenich,",,13:53"
2023,1,124,NaesenOliver,AG2R Citroën Team,",,13:53"
2023,1,125,StuyvenJasper,Lidl - Trek,",,13:53"
2023,1,126,PetitAdrien,Intermarché - Circus - Wanty,",,13:53"
2023,1,127,CosnefroyBenoît,AG2R Citroën Team,",,13:53"
2023,1,128,CraddockLawson,Team Jayco AlUla,",,13:53"
2023,1,129,TrentinMatteo,UAE Team Emirates,",,13:53"
2023,1,130,KirschAlex,Lidl - Trek,",,13:53"
2023,1,131,PhilipsenJasper,Alpecin - Deceuninck,",,13:53"
2023,1,132,SinkeldamRamon,Alpecin - Deceuninck,",,13:53"
2023,1,133,TeunissenMike,Intermarché - Circus - Wanty,",,13:53"
2023,1,134,Juul-JensenChristopher,Team Jayco AlUla,",,13:53"
2023,1,135,MezgecLuka,Team Jayco AlUla,",,13:53"
2023,1,136,Kragh AndersenSøren,Alpecin - Deceuninck,",,13:53"
2023,1,137,LaengenVegard Stake,UAE Team Emirates,",,13:53"
2023,1,138,van den BergLars,Groupama - FDJ,",,13:53"
2023,1,139,AbrahamsenJonas,Uno-X Pro Cycling Team,",,13:53"
2023,1,140,TillerRasmus,Uno-X Pro Cycling Team,",,13:53"
2023,1,141,WærenskjoldSøren,Uno-X Pro Cycling Team,",,13:53"
2023,1,142,van PoppelDanny,BORA - hansgrohe,14:0614:06
2023,1,143,TurnerBen,INEOS Grenadiers,15:0415:04
2023,1,144,JakobsenFabio,Soudal Quick-Step,15:1415:14
2023,1,145,MørkøvMichael,Soudal Quick-Step,",,15:14"
2023,1,146,ReindersElmar,Team Jayco AlUla,",,15:14"
2023,1,147,GroenewegenDylan,Team Jayco AlUla,",,15:14"
2023,1,148,SaganPeter,TotalEnergies,",,15:14"
2023,1,149,AmadorAndrey,EF Education - EasyPost,",,15:14"
2023,1,150,EwanCaleb,Lotto Dstny,",,15:14"
2023,1,151,CortMagnus,EF Education - EasyPost,",,15:14"
2023,1,152,LaporteChristophe,Jumbo-Visma,15:1815:18
2023,1,153,CarapazRichard,EF Education - EasyPost,15:2415:24
2023,1,154,DillierSilvan,Alpecin - Deceuninck,16:5116:51
2023,1,155,EdmondsonAlex,Team dsm - firmenich,",,16:51"
2023,1,156,FrisonFrederik,Lotto Dstny,",,16:51"
2023,1,157,WelsfordSam,Team dsm - firmenich,",,16:51"
2023,1,158,PedersenMads,Lidl - Trek,",,16:51"
2023,1,159,De BuystJasper,Lotto Dstny,",,16:51"
2023,1,160,PetersNans,AG2R Citroën Team,",,16:51"
2023,1,161,EenkhoornPascal,Lotto Dstny,",,16:51"
2023,1,162,PichonLaurent,Team Arkéa Samsic,",,16:51"
2023,1,163,Le GacOlivier,Groupama - FDJ,",,16:51"
2023,1,164,GregaardJonas,Uno-X Pro Cycling Team,",,16:51"
2023,1,165,KristoffAlexander,Uno-X Pro Cycling Team,",,16:51"
2023,1,166,MozzatoLuca,Team Arkéa Samsic,17:2617:26
2023,1,167,FerronValentin,TotalEnergies,20:5120:51
2023,1,168,RenardAlexis,Cofidis,",,20:51"
2023,1,169,MosconGianni,Astana Qazaqstan Team,21:2221:22
2023,1,170,CavendishMark,Astana Qazaqstan Team,",,21:22"
2023,1,171,MeeusJordi,BORA - hansgrohe,",,21:22"
2023,1,172,BolCees,Astana Qazaqstan Team,",,21:22"
2023,1,173,BauhausPhil,Bahrain - Victorious,",,21:22"
2023,1,174,FedorovYevgeniy,Astana Qazaqstan Team,",,21:22"
2023,1,175,GuarnieriJacopo,Lotto Dstny,",,21:22"
2023,1,DNF,MasEnric,Movistar Team,
2023,2,1,LafayVictor,Cofidis,4:46:394:46:39
2023,2,2,van AertWout,Jumbo-Visma,",,0:00"
2023,2,3,PogačarTadej,UAE Team Emirates,",,0:00"
2023,2,4,PidcockTom,INEOS Grenadiers,",,0:00"
2023,2,5,BilbaoPello,Bahrain - Victorious,",,0:00"
2023,2,6,WoodsMichael,Israel - Premier Tech,",,0:00"
2023,2,7,BardetRomain,Team dsm - firmenich,",,0:00"
2023,2,8,TeunsDylan,Israel - Premier Tech,",,0:00"
2023,2,9,HindleyJai,BORA - hansgrohe,",,0:00"
2023,2,10,CrasSteff,TotalEnergies,",,0:00"
2023,2,11,CicconeGiulio,Lidl - Trek,",,0:00"
2023,2,12,BenootTiesj,Jumbo-Visma,",,0:00"
2023,2,13,BuchmannEmanuel,BORA - hansgrohe,",,0:00"
2023,2,14,HaigJack,Bahrain - Victorious,",,0:00"
2023,2,15,LandaMikel,Bahrain - Victorious,",,0:00"
2023,2,16,VingegaardJonas,Jumbo-Visma,",,0:00"
2023,2,17,RodríguezCarlos,INEOS Grenadiers,",,0:00"
2023,2,18,YatesSimon,Team Jayco AlUla,",,0:00"
2023,2,19,YatesAdam,UAE Team Emirates,",,0:00"
2023,2,20,BernalEgan,INEOS Grenadiers,",,0:00"
2023,2,21,KeldermanWilco,Jumbo-Visma,",,0:00"
2023,2,22,GauduDavid,Groupama - FDJ,",,0:00"
2023,2,23,SkjelmoseMattias,Lidl - Trek,",,0:00"
2023,2,24,BettiolAlberto,EF Education - EasyPost,",,0:00"
2023,2,25,AranburuAlex,Movistar Team,0:580:58
2023,2,26,TejadaHarold,Astana Qazaqstan Team,",,0:58"
2023,2,27,MeintjesLouis,Intermarché - Circus - Wanty,",,0:58"
2023,2,28,O'ConnorBen,AG2R Citroën Team,",,0:58"
2023,2,29,MartinGuillaume,Cofidis,",,0:58"
2023,2,30,KussSepp,Jumbo-Visma,",,0:58"
2023,2,31,MajkaRafał,UAE Team Emirates,",,0:58"
2023,2,32,PedersenMads,Lidl - Trek,2:252:25
2023,2,33,AlaphilippeJulian,Soudal Quick-Step,",,2:25"
2023,2,34,JohannessenTobias Halland,Uno-X Pro Cycling Team,",,2:25"
2023,2,35,GuerreiroRuben,Movistar Team,",,2:25"
2023,2,36,CastroviejoJonathan,INEOS Grenadiers,",,2:25"
2023,2,37,BerthetClément,AG2R Citroën Team,",,2:25"
2023,2,38,DinhamMatthew,Team dsm - firmenich,",,2:25"
2023,2,39,LópezJuan Pedro,Lidl - Trek,",,2:25"
2023,2,40,PinotThibaut,Groupama - FDJ,",,2:25"
2023,2,41,MadouasValentin,Groupama - FDJ,",,2:25"
2023,2,42,CampenaertsVictor,Lotto Dstny,",,2:25"
2023,2,43,van BaarleDylan,Jumbo-Visma,",,2:25"
2023,2,44,HarperChris,Team Jayco AlUla,",,2:25"
2023,2,45,HermansQuinten,Alpecin - Deceuninck,5:005:00
2023,2,46,GallFelix,AG2R Citroën Team,",,5:00"
2023,2,47,KonradPatrick,BORA - hansgrohe,",,5:00"
2023,2,48,HamiltonChris,Team dsm - firmenich,",,5:00"
2023,2,49,JungelsBob,BORA - hansgrohe,",,5:00"
2023,2,50,StrongCorbin,Israel - Premier Tech,",,5:00"
2023,2,51,GallopinTony,Lidl - Trek,",,5:00"
2023,2,52,ChampoussinClément,Team Arkéa Samsic,",,5:00"
2023,2,53,MühlbergerGregor,Movistar Team,",,5:00"
2023,2,54,IzagirreGorka,Movistar Team,",,5:00"
2023,2,55,PedreroAntonio,Movistar Team,",,5:00"
2023,2,56,PhilipsenJasper,Alpecin - Deceuninck,",,5:00"
2023,2,57,DelaplaceAnthony,Team Arkéa Samsic,6:266:26
2023,2,58,CalmejaneLilian,Intermarché - Circus - Wanty,",,6:26"
2023,2,59,CostaRui,Intermarché - Circus - Wanty,",,6:26"
2023,2,60,DevenynsDries,Soudal Quick-Step,",,6:26"
2023,2,61,BarguilWarren,Team Arkéa Samsic,",,6:26"
2023,2,62,EenkhoornPascal,Lotto Dstny,",,6:26"
2023,2,63,KüngStefan,Groupama - FDJ,7:007:00
2023,2,64,GenietsKevin,Groupama - FDJ,",,7:00"
2023,2,65,MartínezDaniel Felipe,INEOS Grenadiers,",,7:00"
2023,2,66,HouleHugo,Israel - Premier Tech,",,7:00"
2023,2,67,SánchezLuis León,Astana Qazaqstan Team,8:128:12
2023,2,68,KwiatkowskiMichał,INEOS Grenadiers,",,8:12"
2023,2,69,CharmigAnthon,Uno-X Pro Cycling Team,",,8:12"
2023,2,70,BurgaudeauMathieu,TotalEnergies,",,8:12"
2023,2,71,Paret-PeintreAurélien,AG2R Citroën Team,",,8:12"
2023,2,72,MohoričMatej,Bahrain - Victorious,",,8:12"
2023,2,73,GoglMichael,Alpecin - Deceuninck,",,8:12"
2023,2,74,ChavesEsteban,EF Education - EasyPost,",,8:12"
2023,2,75,PowlessNeilson,EF Education - EasyPost,",,8:12"
2023,2,76,LutsenkoAlexey,Astana Qazaqstan Team,",,8:12"
2023,2,77,LouvelMatis,Team Arkéa Samsic,",,8:12"
2023,2,78,GroßschartnerFelix,UAE Team Emirates,",,8:12"
2023,2,79,CortMagnus,EF Education - EasyPost,11:2111:21
2023,2,80,SchultzNick,Israel - Premier Tech,",,11:21"
2023,2,81,TeunissenMike,Intermarché - Circus - Wanty,",,11:21"
2023,2,82,KirschAlex,Lidl - Trek,11:4211:42
2023,2,83,PerezAnthony,Cofidis,",,11:42"
2023,2,84,PacherQuentin,Groupama - FDJ,",,11:42"
2023,2,85,FraileOmar,INEOS Grenadiers,",,11:42"
2023,2,86,IzagirreIon,Cofidis,",,11:42"
2023,2,87,BiermansJenthe,Team Arkéa Samsic,",,11:42"
2023,2,88,GregaardJonas,Uno-X Pro Cycling Team,",,11:42"
2023,2,89,OliveiraNelson,Movistar Team,",,11:42"
2023,2,90,van den BergLars,Groupama - FDJ,",,11:42"
2023,2,91,CoquardBryan,Cofidis,",,11:42"
2023,2,92,Van HooydonckNathan,Jumbo-Visma,",,11:42"
2023,2,93,OssDaniel,TotalEnergies,13:1113:11
2023,2,94,NeilandsKrists,Israel - Premier Tech,",,13:11"
2023,2,95,SolerMarc,UAE Team Emirates,",,13:11"
2023,2,96,TillerRasmus,Uno-X Pro Cycling Team,",,13:11"
2023,2,97,FerronValentin,TotalEnergies,",,13:11"
2023,2,98,GuglielmiSimon,Team Arkéa Samsic,",,13:11"
2023,2,99,VermeerschFlorian,Lotto Dstny,",,13:11"
2023,2,100,DillierSilvan,Alpecin - Deceuninck,",,13:11"
2023,2,101,StuyvenJasper,Lidl - Trek,",,13:11"
2023,2,102,Van GilsMaxim,Lotto Dstny,",,13:11"
2023,2,103,PolittNils,BORA - hansgrohe,13:4413:44
2023,2,104,BoivinGuillaume,Israel - Premier Tech,14:1014:10
2023,2,105,ClarkeSimon,Israel - Premier Tech,",,14:10"
2023,2,106,RickaertJonas,Alpecin - Deceuninck,",,14:10"
2023,2,107,van der PoelMathieu,Alpecin - Deceuninck,",,14:10"
2023,2,108,PetersNans,AG2R Citroën Team,",,14:10"
2023,2,109,CosnefroyBenoît,AG2R Citroën Team,",,14:10"
2023,2,110,NaesenOliver,AG2R Citroën Team,",,14:10"
2023,2,111,ArndtNikias,Bahrain - Victorious,",,14:10"
2023,2,112,HallerMarco,BORA - hansgrohe,",,14:10"
2023,2,113,van PoppelDanny,BORA - hansgrohe,",,14:10"
2023,2,114,PoelsWout,Bahrain - Victorious,",,14:10"
2023,2,115,Boasson HagenEdvald,TotalEnergies,",,14:10"
2023,2,116,DewulfStan,AG2R Citroën Team,",,14:10"
2023,2,117,SaganPeter,TotalEnergies,",,14:10"
2023,2,118,LatourPierre,TotalEnergies,",,14:10"
2023,2,119,TurgisAnthony,TotalEnergies,",,14:10"
2023,2,120,ShawJames,EF Education - EasyPost,",,14:10"
2023,2,121,AmadorAndrey,EF Education - EasyPost,",,14:10"
2023,2,122,JorgensonMatteo,Movistar Team,",,14:10"
2023,2,123,SimmonsQuinn,Lidl - Trek,",,14:10"
2023,2,124,LaporteChristophe,Jumbo-Visma,",,14:10"
2023,2,125,DeclercqTim,Soudal Quick-Step,",,14:10"
2023,2,126,CraddockLawson,Team Jayco AlUla,",,14:10"
2023,2,127,AsgreenKasper,Soudal Quick-Step,",,14:10"
2023,2,128,GirmayBiniam,Intermarché - Circus - Wanty,",,14:10"
2023,2,129,MeeusJordi,BORA - hansgrohe,",,14:10"
2023,2,130,FrisonFrederik,Lotto Dstny,",,14:10"
2023,2,131,UránRigoberto,EF Education - EasyPost,",,14:10"
2023,2,132,EwanCaleb,Lotto Dstny,",,14:10"
2023,2,133,MezgecLuka,Team Jayco AlUla,",,14:10"
2023,2,134,TurnerBen,INEOS Grenadiers,",,14:10"
2023,2,135,Kragh AndersenSøren,Alpecin - Deceuninck,",,14:10"
2023,2,136,GeschkeSimon,Cofidis,",,14:10"
2023,2,137,Juul-JensenChristopher,Team Jayco AlUla,",,14:10"
2023,2,138,PichonLaurent,Team Arkéa Samsic,18:1518:15
2023,2,139,PetitAdrien,Intermarché - Circus - Wanty,",,18:15"
2023,2,140,WelsfordSam,Team dsm - firmenich,",,18:15"
2023,2,141,SmithDion,Intermarché - Circus - Wanty,",,18:15"
2023,2,142,VermaerkeKevin,Team dsm - firmenich,",,18:15"
2023,2,143,EekhoffNils,Team dsm - firmenich,",,18:15"
2023,2,144,WrightFred,Bahrain - Victorious,",,18:15"
2023,2,145,ZimmermannGeorg,Intermarché - Circus - Wanty,",,18:15"
2023,2,146,BauhausPhil,Bahrain - Victorious,",,18:15"
2023,2,147,ZingleAxel,Cofidis,",,18:15"
2023,2,148,SinkeldamRamon,Alpecin - Deceuninck,",,18:15"
2023,2,149,MozzatoLuca,Team Arkéa Samsic,",,18:15"
2023,2,150,GuarnieriJacopo,Lotto Dstny,",,18:15"
2023,2,151,LaengenVegard Stake,UAE Team Emirates,",,18:15"
2023,2,152,AbrahamsenJonas,Uno-X Pro Cycling Team,",,18:15"
2023,2,153,KristoffAlexander,Uno-X Pro Cycling Team,",,18:15"
2023,2,154,TræenTorstein,Uno-X Pro Cycling Team,",,18:15"
2023,2,155,ReindersElmar,Team Jayco AlUla,",,18:15"
2023,2,156,GroenewegenDylan,Team Jayco AlUla,",,18:15"
2023,2,157,LampaertYves,Soudal Quick-Step,",,18:15"
2023,2,158,MørkøvMichael,Soudal Quick-Step,",,18:15"
2023,2,159,JakobsenFabio,Soudal Quick-Step,",,18:15"
2023,2,160,de la CruzDavid,Astana Qazaqstan Team,",,18:15"
2023,2,161,FedorovYevgeniy,Astana Qazaqstan Team,20:0620:06
2023,2,162,CavendishMark,Astana Qazaqstan Team,",,20:06"
2023,2,163,BolCees,Astana Qazaqstan Team,",,20:06"
2023,2,164,MosconGianni,Astana Qazaqstan Team,",,20:06"
2023,2,165,RenardAlexis,Cofidis,",,20:06"
2023,2,166,EdmondsonAlex,Team dsm - firmenich,",,20:06"
2023,2,167,DegenkolbJohn,Team dsm - firmenich,",,20:06"
2023,2,168,Le GacOlivier,Groupama - FDJ,",,20:06"
2023,2,169,BjergMikkel,UAE Team Emirates,",,20:06"
2023,2,170,CavagnaRémi,Soudal Quick-Step,",,20:06"
2023,2,171,WærenskjoldSøren,Uno-X Pro Cycling Team,",,20:06"
2023,2,172,DurbridgeLuke,Team Jayco AlUla,",,20:06"
2023,2,173,TrentinMatteo,UAE Team Emirates,",,20:06"
2023,2,174,De BuystJasper,Lotto Dstny,21:1421:14
2023,2,DNS,CarapazRichard,EF Education - EasyPost,
2023,3,1,PhilipsenJasper,Alpecin - Deceuninck,4:43:154:43:15
2023,3,2,BauhausPhil,Bahrain - Victorious,",,0:00"
2023,3,3,EwanCaleb,Lotto Dstny,",,0:00"
2023,3,4,JakobsenFabio,Soudal Quick-Step,",,0:00"
2023,3,5,van AertWout,Jumbo-Visma,",,0:00"
2023,3,6,CavendishMark,Astana Qazaqstan Team,",,0:00"
2023,3,7,MeeusJordi,BORA - hansgrohe,",,0:00"
2023,3,8,GroenewegenDylan,Team Jayco AlUla,",,0:00"
2023,3,9,PedersenMads,Lidl - Trek,",,0:00"
2023,3,10,CoquardBryan,Cofidis,",,0:00"
2023,3,11,GirmayBiniam,Intermarché - Circus - Wanty,",,0:00"
2023,3,12,MozzatoLuca,Team Arkéa Samsic,",,0:00"
2023,3,13,WelsfordSam,Team dsm - firmenich,",,0:00"
2023,3,14,KristoffAlexander,Uno-X Pro Cycling Team,",,0:00"
2023,3,15,WærenskjoldSøren,Uno-X Pro Cycling Team,",,0:00"
2023,3,16,StrongCorbin,Israel - Premier Tech,",,0:00"
2023,3,17,TeunissenMike,Intermarché - Circus - Wanty,",,0:00"
2023,3,18,KirschAlex,Lidl - Trek,",,0:00"
2023,3,19,SaganPeter,TotalEnergies,",,0:00"
2023,3,20,HouleHugo,Israel - Premier Tech,",,0:00"
2023,3,21,RenardAlexis,Cofidis,",,0:00"
2023,3,22,BoivinGuillaume,Israel - Premier Tech,",,0:00"
2023,3,23,CampenaertsVictor,Lotto Dstny,",,0:00"
2023,3,24,van PoppelDanny,BORA - hansgrohe,",,0:00"
2023,3,25,MohoričMatej,Bahrain - Victorious,",,0:00"
2023,3,26,van der PoelMathieu,Alpecin - Deceuninck,",,0:00"
2023,3,27,SánchezLuis León,Astana Qazaqstan Team,",,0:00"
2023,3,28,JungelsBob,BORA - hansgrohe,",,0:00"
2023,3,29,BiermansJenthe,Team Arkéa Samsic,",,0:00"
2023,3,30,NaesenOliver,AG2R Citroën Team,",,0:00"
2023,3,31,AbrahamsenJonas,Uno-X Pro Cycling Team,",,0:00"
2023,3,32,StuyvenJasper,Lidl - Trek,",,0:00"
2023,3,33,MørkøvMichael,Soudal Quick-Step,",,0:00"
2023,3,34,RodríguezCarlos,INEOS Grenadiers,",,0:00"
2023,3,35,WoodsMichael,Israel - Premier Tech,",,0:00"
2023,3,36,OssDaniel,TotalEnergies,",,0:00"
2023,3,37,LaporteChristophe,Jumbo-Visma,",,0:00"
2023,3,38,BardetRomain,Team dsm - firmenich,",,0:00"
2023,3,39,O'ConnorBen,AG2R Citroën Team,",,0:00"
2023,3,40,Boasson HagenEdvald,TotalEnergies,",,0:00"
2023,3,41,BerthetClément,AG2R Citroën Team,",,0:00"
2023,3,42,PidcockTom,INEOS Grenadiers,",,0:00"
2023,3,43,VingegaardJonas,Jumbo-Visma,",,0:00"
2023,3,44,HindleyJai,BORA - hansgrohe,",,0:00"
2023,3,45,SkjelmoseMattias,Lidl - Trek,",,0:00"
2023,3,46,Kragh AndersenSøren,Alpecin - Deceuninck,",,0:00"
2023,3,47,GallopinTony,Lidl - Trek,",,0:00"
2023,3,48,MeintjesLouis,Intermarché - Circus - Wanty,",,0:00"
2023,3,49,ZingleAxel,Cofidis,",,0:00"
2023,3,50,ArndtNikias,Bahrain - Victorious,",,0:00"
2023,3,51,ZimmermannGeorg,Intermarché - Circus - Wanty,",,0:00"
2023,3,52,MartinGuillaume,Cofidis,",,0:00"
2023,3,53,TrentinMatteo,UAE Team Emirates,",,0:00"
2023,3,54,BolCees,Astana Qazaqstan Team,",,0:00"
2023,3,55,BilbaoPello,Bahrain - Victorious,",,0:00"
2023,3,56,OliveiraNelson,Movistar Team,",,0:00"
2023,3,57,GuerreiroRuben,Movistar Team,",,0:00"
2023,3,58,PogačarTadej,UAE Team Emirates,",,0:00"
2023,3,59,SinkeldamRamon,Alpecin - Deceuninck,",,0:00"
2023,3,60,LandaMikel,Bahrain - Victorious,",,0:00"
2023,3,61,BernalEgan,INEOS Grenadiers,",,0:00"
2023,3,62,LafayVictor,Cofidis,",,0:00"
2023,3,63,YatesSimon,Team Jayco AlUla,",,0:00"
2023,3,64,RickaertJonas,Alpecin - Deceuninck,",,0:00"
2023,3,65,TejadaHarold,Astana Qazaqstan Team,",,0:00"
2023,3,66,YatesAdam,UAE Team Emirates,",,0:00"
2023,3,67,HallerMarco,BORA - hansgrohe,",,0:00"
2023,3,68,CicconeGiulio,Lidl - Trek,",,0:00"
2023,3,69,CrasSteff,TotalEnergies,",,0:00"
