year,stage,rider_name,position,won,stage_type,elevation,distance_km,pcs_ranking,rider_type,gap_pct,hist_stage_wins,RCS_ranking
2023,1,YatesAdam,1,1,hilly,3221,182.0,0,Climber,0.0,0,0
2023,1,YatesSimon,2,0,hilly,3221,182.0,0,Climber,0.0254,0,0
2023,1,PogačarTadej,3,0,hilly,3221,182.0,0,Climber,0.0761,0,0
2023,1,PinotThibaut,4,0,hilly,3221,182.0,0,Climber,0.0761,0,0
2023,1,WoodsMichael,5,0,hilly,3221,182.0,0,Climber,0.0761,0,0
2023,1,LafayVictor,6,0,hilly,3221,182.0,0,GC,0.0761,0,0
2023,1,HindleyJai,7,0,hilly,3221,182.0,0,Climber,0.0761,0,0
2023,1,SkjelmoseMattias,8,0,hilly,3221,182.0,0,Climber,0.0761,0,0
2023,1,VingegaardJonas,9,0,hilly,3221,182.0,0,GC,0.0761,0,0
2023,1,GauduDavid,10,0,hilly,3221,182.0,0,Climber,0.0761,0,0
2023,1,van AertWout,11,0,hilly,3221,182.0,0,Classic,0.0761,0,0
2023,1,LandaMikel,12,0,hilly,3221,182.0,0,Climber,0.0761,0,0
2023,1,RodríguezCarlos,13,0,hilly,3221,182.0,0,GC,0.0761,0,0
2023,1,KeldermanWilco,14,0,hilly,3221,182.0,0,GC,0.0761,0,0
2023,1,StrongCorbin,15,0,hilly,3221,182.0,0,Hills,0.2093,0,0
2023,1,AranburuAlex,16,0,hilly,3221,182.0,0,Classic,0.2093,0,0
2023,1,Van GilsMaxim,17,0,hilly,3221,182.0,0,Classic,0.2093,0,0
2023,1,TeunsDylan,18,0,hilly,3221,182.0,0,GC,0.2093,0,0
2023,1,CrasSteff,19,0,hilly,3221,182.0,0,GC,0.2093,0,0
2023,1,MadouasValentin,20,0,hilly,3221,182.0,0,Classic,0.2093,0,0
2023,1,MeintjesLouis,21,0,hilly,3221,182.0,0,GC,0.2093,0,0
2023,1,BardetRomain,22,0,hilly,3221,182.0,0,Climber,0.2093,0,0
2023,1,BernalEgan,23,0,hilly,3221,182.0,0,GC,0.2093,0,0
