rider_name,position,won,stage_type,elevation,distance_km,pcs_ranking,rider_type,gap_pct,hist_stage_wins,RCS_ranking
KristoffAlexander,1,1,hilly,1597,156.0,0,Classic,0.0,0,0
PedersenMads,2,0,hilly,1597,156.0,0,Classic,0.0,0,0
BolCees,3,0,hilly,1597,156.0,0,Sprint,0.0,0,0
BennettSam,4,0,hilly,1597,156.0,0,Sprint,0.0,0,0
SaganPeter,5,0,hilly,1597,156.0,0,Classic,0.0,0,0
VivianiElia,6,0,hilly,1597,156.0,0,Sprint,0.0,0,0
NizzoloGiacomo,7,0,hilly,1597,156.0,0,Sprint,0.0,0,0
CoquardBryan,8,0,hilly,1597,156.0,0,Sprint,0.0,0,0
TurgisAnthony,9,0,hilly,1597,156.0,0,Classic,0.0,0,0
StuyvenJasper,10,0,hilly,1597,156.0,0,Classic,0.0,0,0
NaesenOliver,11,0,hilly,1597,156.0,0,Classic,0.0,0,0
TrentinMatteo,12,0,hilly,1597,156.0,0,Classic,0.0,0,0
VenturiniClément,13,0,hilly,1597,156.0,0,Classic,0.0,0,0
MezgecLuka,14,0,hilly,1597,156.0,0,Hills,0.0,0,0
HouleHugo,15,0,hilly,1597,156.0,0,GC,0.0,0,0
HiguitaSergio,16,0,hilly,1597,156.0,0,Climber,0.0,0,0
PogačarTadej,17,0,hilly,1597,156.0,0,Climber,0.0,0,0
SwiftConnor,18,0,hilly,1597,156.0,0,Classic,0.0,0,0
EwanCaleb,19,0,hilly,1597,156.0,0,Sprint,0.0,0,0
LaporteChristophe,20,0,hilly,1597,156.0,0,Classic,0.0,0,0
KochJonas,21,0,hilly,1597,156.0,0,Hills,0.0,0,0
MørkøvMichael,22,0,hilly,1597,156.0,0,Classic,0.0,0,0
HallerMarco,23,0,hilly,1597,156.0,0,Classic,0.0,0,0
GautierCyril,24,0,hilly,1597,156.0,0,Classic,0.0,0,0
FormoloDavide,25,0,hilly,1597,156.0,0,Climber,0.0,0,0
AmadorAndrey,26,0,hilly,1597,156.0,0,GC,0.0,0,0
LaengenVegard Stake,27,0,hilly,1597,156.0,0,GC,0.0,0,0
ConsonniSimone,28,0,hilly,1597,156.0,0,Classic,0.0,0,0
PolancJan,29,0,hilly,1597,156.0,0,GC,0.0,0,0
TheunsEdward,30,0,hilly,1597,156.0,0,Classic,0.0,0,0
BauerJack,31,0,hilly,1597,156.0,0,TT,0.0,0,0
PedersenCasper,32,0,hilly,1597,156.0,0,Classic,0.0,0,0
NieuwenhuisJoris,33,0,hilly,1597,156.0,0,Classic,0.0,0,0
Kragh AndersenSøren,34,0,hilly,1597,156.0,0,TT,0.0,0,0
van AertWout,35,0,hilly,1597,156.0,0,Classic,0.0,0,0
MartínezDaniel Felipe,36,0,hilly,1597,156.0,0,GC,0.0,0,0
RussoClément,37,0,hilly,1597,156.0,0,Classic,0.0,0,0
JansenAmund Grøndahl,38,0,hilly,1597,156.0,0,Classic,0.0,0,0
RogličPrimož,39,0,hilly,1597,156.0,0,Climber,0.0,0,0
GibbonsRyan,40,0,hilly,1597,156.0,0,Hills,0.0,0,0
KussSepp,41,0,hilly,1597,156.0,0,Climber,0.0,0,0
MarcatoMarco,42,0,hilly,1597,156.0,0,Classic,0.0,0,0
DumoulinTom,43,0,hilly,1597,156.0,0,TT,0.0,0,0
CarapazRichard,44,0,hilly,1597,156.0,0,Climber,0.0,0,0
BernalEgan,45,0,hilly,1597,156.0,0,GC,0.0,0,0
ChavesEsteban,46,0,hilly,1597,156.0,0,Climber,0.0,0,0
DebusschereJens,47,0,hilly,1597,156.0,0,Classic,0.0,0,0
OssDaniel,48,0,hilly,1597,156.0,0,Classic,0.0,0,0
De BuystJasper,49,0,hilly,1597,156.0,0,Classic,0.0,0,0
KlugeRoger,50,0,hilly,1597,156.0,0,Sprint,0.0,0,0
Juul-JensenChristopher,51,0,hilly,1597,156.0,0,GC,0.0,0,0
MartinTony,52,0,hilly,1597,156.0,0,TT,0.0,0,0
AsgreenKasper,53,0,hilly,1597,156.0,0,TT,0.0,0,0
BartheCyril,54,0,hilly,1597,156.0,0,Hills,0.0,0,0
GrellierFabien,55,0,hilly,1597,156.0,0,Classic,0.0,0,0
RezaKévin,56,0,hilly,1597,156.0,0,Hills,0.0,0,0
CherelMikaël,57,0,hilly,1597,156.0,0,GC,0.0,0,0
Van AsbroeckTom,58,0,hilly,1597,156.0,0,Classic,0.0,0,0
QuintanaDayer,59,0,hilly,1597,156.0,0,GC,0.0,0,0
QuintanaNairo,60,0,hilly,1597,156.0,0,GC,0.0,0,0
AruFabio,61,0,hilly,1597,156.0,0,Climber,0.0,0,0
ChevalierMaxime,62,0,hilly,1597,156.0,0,GC,0.0,0,0
MühlbergerGregor,63,0,hilly,1597,156.0,0,Climber,0.0,0,0
BenootTiesj,64,0,hilly,1597,156.0,0,Classic,0.0,0,0
GroßschartnerFelix,65,0,hilly,1597,156.0,0,GC,0.0,0,0
BuchmannEmanuel,66,0,hilly,1597,156.0,0,GC,0.0,0,0
GeschkeSimon,67,0,hilly,1597,156.0,0,Climber,0.0,0,0
Van AvermaetGreg,68,0,hilly,1597,156.0,0,Classic,0.0,0,0
GesinkRobert,69,0,hilly,1597,156.0,0,GC,0.0,0,0
HofstetterHugo,70,0,hilly,1597,156.0,0,Classic,0.0,0,0
van GarderenTejay,71,0,hilly,1597,156.0,0,GC,0.0,0,0
KeukeleireJens,72,0,hilly,1597,156.0,0,Classic,0.0,0,0
PacherQuentin,73,0,hilly,1597,156.0,0,Hills,0.0,0,0
PérichonPierre-Luc,74,0,hilly,1597,156.0,0,Classic,0.0,0,0
MartinGuillaume,75,0,hilly,1597,156.0,0,Climber,0.0,0,0
KwiatkowskiMichał,76,0,hilly,1597,156.0,0,Classic,0.0,0,0
SoupeGeoffrey,77,0,hilly,1597,156.0,0,Sprint,0.0,0,0
OliveiraNelson,78,0,hilly,1597,156.0,0,TT,0.0,0,0
de la CruzDavid,79,0,hilly,1597,156.0,0,GC,0.0,0,0
MasEnric,80,0,hilly,1597,156.0,0,Climber,0.0,0,0
VuillermozAlexis,81,0,hilly,1597,156.0,0,Climber,0.0,0,0
LatourPierre,82,0,hilly,1597,156.0,0,GC,0.0,0,0
PetersNans,83,0,hilly,1597,156.0,0,Classic,0.0,0,0
BardetRomain,84,0,hilly,1597,156.0,0,Climber,0.0,0,0
PowlessNeilson,85,0,hilly,1597,156.0,0,Classic,0.0,0,0
CarthyHugh,86,0,hilly,1597,156.0,0,GC,0.0,0,0
BettiolAlberto,87,0,hilly,1597,156.0,0,Classic,0.0,0,0
NeilandsKrists,88,0,hilly,1597,156.0,0,Classic,0.0,0,0
